,APOGEE_ID_1,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
2955,2M19241926+4842071,2129536805036238336,2.7988155,4570.532999999999,0.056152895,0.23528892,0.06996032599999999,0.34632435,12.540306,13.169457000000001,11.805144,10.81,10.189,10.115,0.0487017,64.72851,0.01011083,0.024059812000000003,0.02252347,0.03458591,0.00020715269636539801,0.0017492979930555652,0.0007794427299967488,0.027000000000000003,0.027999999999999997,0.02,8.7755,11.0924,7.0843,2.00405,0.9432718705571956,0.0973642890581915,1.3612731,1.3804908,1.3412198000000002,0.01963549999999998,0.13394526254705358,0.006266780281373813
2956,2M19243217+4845413,2129543191649647744,2.4494580000000004,4620.4487,0.046490856,-0.15986629,-0.037266,0.18598499999999998,11.9236,12.517608000000001,11.216318,10.297,9.697000000000001,9.586,0.056395363,67.47001999999999,0.013829233,0.030552102,0.030226512,0.045320123,0.00019936031015799216,0.002033466404018913,0.0012323354089571747,0.022000000000000002,0.027999999999999997,0.02,10.2317,13.2319,8.0353,2.5983,1.0099477978647902,0.10831005707221497,1.5355327,1.5605824,1.5118197,0.024381349999999996,0.18625906941363257,0.006893352259726926
2957,2M19252675+4847519,2129356446469735168,2.8549104,4699.7363,0.022199023999999998,0.14407575,-0.010680512,0.32092988,11.867681,12.439745,11.176101,10.265,9.704,9.612,0.05114646,70.15316999999999,0.010867347,0.027168387999999998,0.026871001000000002,0.040479437,0.00019858614040968448,0.0017564920720702926,0.0008209691182958778,0.021,0.017,0.015,6.5451,7.9564,5.0699,1.4432500000000004,0.815916286351468,0.09785860771818128,1.0929761,1.1101892,1.0777054000000001,0.016241899999999986,0.03861066537916124,0.006448469605108656
2958,2M19321328+4844069,2128930901113614464,2.6735594,4520.1914,-0.007533135,0.4579063,-0.034265846,0.38739213,12.882171000000001,13.564228,12.106831,11.046,10.468,10.347999999999999,0.044716794000000004,62.427986,0.008475646,0.020779371,0.018712744,0.029195039,0.00017051414351154648,0.0016362486859478054,0.0014661753725764282,0.021,0.018000000000000002,0.017,8.604,11.3515,7.9396,1.7059499999999996,0.9347004017154249,0.07762731521127364,1.7613489999999998,1.7843737000000002,1.7434117,0.020480999999999996,0.24584541715807892,0.0050429286606973045
2959,2M19340619+4845342,2129010345125748224,2.6435272999999997,4685.5107,0.004735779,0.089260265,-0.082068205,0.32423478,13.166222,13.766175,12.444500999999999,11.466,10.919,10.809000000000001,0.052055425999999995,69.66042,0.01135014,0.027749247999999997,0.02744669,0.04131165,0.0002585911970720556,0.001222451269939917,0.0005689808233810822,0.021,0.018000000000000002,0.017,5.5656,7.4621,4.3152,1.5734500000000002,0.7455119903495934,0.11893006781925075,2.4284888000000002,2.4687821,2.3870966,0.040842750000000025,0.3853361048815633,0.007306382828312558
2960,2M19430850+4842493,2134746634727733120,2.4282807999999996,4699.1675,0.014663849,0.0847729,-0.1048369,0.34738209999999997,12.68098,13.302945000000001,11.948314,10.937999999999999,10.390999999999998,10.269,0.039417982000000004,76.2104,0.012097225500000001,0.027571933,0.03019526,0.044024575999999996,0.00018957773132433076,0.0015133939480249659,0.001068436410999185,0.021,0.017,0.016,4.0436,4.6243,3.5465,0.5388999999999999,0.6067681878722987,0.05762301842951856,2.2105976000000003,2.23093,2.1908873,0.020021349999999983,0.34450969418226995,0.003932952870674439
2961,2M19443905+4844426,2086711991066599168,2.5749726,4681.8516,0.052121438,-0.044487275,0.03882242,0.24796942,12.561473,13.170410999999998,11.839502,10.857000000000001,10.312000000000001,10.187000000000001,0.059553586,76.4883,0.013505679,0.029190807000000003,0.03255748,0.047103575999999994,0.00015025248775724087,0.0017206571117744929,0.0009266421812170744,0.021,0.017,0.017,8.1603,9.4417,5.8063,1.8177000000000003,0.9117061251692561,0.10557536292928349,1.8079313,1.8372093,1.7844317,0.026388799999999945,0.25718192359632863,0.006329352692990953
2962,2M19451793+4846592,2086710170000476928,2.5860307000000002,4675.957,0.22004887,-0.3921381,0.08295077,0.14569876,12.384561999999999,12.962867,11.683932,10.745,10.184,10.081,0.06609960000000001,75.55991,0.017537713,0.035182204,0.039562657,0.05677122,0.00016671348202934588,0.001618884148130162,0.0006850597750351906,0.021,0.018000000000000002,0.016,10.0663,13.6412,8.1433,2.74895,1.0028698692762108,0.11202607091256028,1.6054505,1.6311305999999999,1.5790647,0.026032950000000027,0.2055969197385459,0.0070444050844191
2963,2M19523831+4843390,2086931554097191936,2.5037186,4837.268,-0.0011428725,0.12232499,-0.27872926,0.5969008000000001,11.431932000000002,12.018512,10.736222,9.786,9.277999999999999,9.15,0.039457183,76.27086,0.011054601,0.029705375,0.03093197,0.045813735999999994,0.00028162132740594537,0.0013903841993756494,0.0009741723182032924,0.022000000000000002,0.015,0.018000000000000002,2.8179,3.0239,2.6002,0.21184999999999987,0.4499255770562401,0.03278033552393292,1.4443979,1.4537314,1.4353897,0.009170849999999973,0.15968684833753966,0.0027571728016900915
2964,2M18570482+4853424,2131806334473429248,2.3369975,4566.2896,0.061305027000000005,-0.09838262,-0.08030737,0.20735562,11.500624,12.117144999999999,10.777963,9.824,9.206,9.089,0.054793727,65.179436,0.013172215,0.028673556,0.027658632000000002,0.041849617,0.0002532750565620301,0.0018373755783840373,0.0013428390500336285,0.03,0.03,0.02,12.4002,15.6617,9.6895,2.9860999999999995,1.093428689855454,0.10426876686996767,1.3034231,1.3256162999999999,1.2838075,0.02090440000000001,0.11508541353976577,0.0069589635494532245
2965,2M19041642+4850142,2131934221420220160,2.644892,4669.23,-0.020109942,0.22173098,-0.12855078,0.36353925,10.351179,10.946588,9.64144,8.716000000000001,8.163,8.009,0.049562093,68.72667,0.010218922,0.025623463,0.0248849,0.037753526,0.0005172788977492182,0.0009768378727437188,0.0013337821618997214,0.021,0.042,0.033,4.8889,5.6896,3.8539,0.9178500000000003,0.6892111540786543,0.08459064672465483,0.7347829,0.7455712999999999,0.7269088,0.009331249999999954,-0.1338409592280346,0.005504627732683232
2966,2M19045680+4853546,2131938791265026432,2.813491,4752.1816,-0.00013704225,0.07344794,-0.09280364,0.30032438,11.391157000000002,11.958633,10.708244,9.825,9.269,9.152000000000001,0.052799492999999996,72.55298,0.011492428,0.029058069,0.02948207,0.044001427,0.00045254290747087644,0.0017906316494153973,0.0007388317091916452,0.027000000000000003,0.03,0.022000000000000002,7.3177,9.2217,5.8318,1.69495,0.864374600967039,0.0995041840537727,0.92004,0.9343056000000001,0.905649,0.014328300000000013,-0.036193290696140724,0.0067645199973016615
2967,2M19052821+4848200,2131186965831077376,2.7442912999999995,4729.184,-0.0109881405,0.12191871,-0.117671594,0.31024837,12.277828999999999,12.866992,11.577025,10.657,10.077,9.985,0.052829817,73.02619,0.011238633,0.027828997,0.028602451,0.04255487,0.0001737912026877897,0.0012339238472214298,0.0008325155960176023,0.023,0.03,0.022000000000000002,4.2844,5.4326,3.4277,1.0024499999999998,0.6318900106386209,0.1000024624043983,1.5657938,1.5903332000000001,1.5425528,0.02389020000000005,0.19473456907668374,0.006624043506876606
2968,2M19074933+4849248,2131268398410343168,2.490972,4790.487,0.20585063,-0.9214061,-0.108847976,0.101781964,12.551299,13.087735,11.880794,11.001,10.462,10.37,0.07873352,82.65444000000001,0.02484912,0.047369155999999996,0.05830782,0.08073349,0.00017005872154918222,0.0012043526839500274,0.0008824431805198873,0.021,0.021,0.022000000000000002,11.1572,13.2038,9.4406,1.8815999999999997,1.0475552181568706,0.07284967024936112,2.2201880999999997,2.2439737,2.1953304,0.02432165000000009,0.3463897705458738,0.00475893559771276
2969,2M19102221+4853112,2131231599130749440,2.4996762,4707.6567,0.10137466,-0.2953074,-0.016204685,0.17352082,12.626126,13.186254000000002,11.940166,11.030999999999999,10.467,10.357999999999999,0.06627642,79.487206,0.016662383,0.033767425,0.03964337,0.056210518,0.00021109690357068445,0.0013029550145438051,0.0008093335269176993,0.023,0.028999999999999998,0.024,7.6314,9.0133,6.3023,1.3554999999999997,0.8826042177059348,0.0776923769780043,2.2131437000000003,2.2367595000000002,2.1852444999999996,0.025757500000000162,0.3450096136972164,0.005059627359779301
2970,2M19220808+4850043,2129532853666622336,2.6528878,4696.7437,0.033277262,0.21609107,-0.061663195,0.4492818,10.979727,11.588662,10.271993,9.33,8.785,8.65,0.049837507,69.88816,0.010264383,0.026103001,0.025616042000000002,0.038728926000000004,0.000502090446860004,0.0017512362342630983,0.0005355500804815616,0.023,0.03,0.025,4.1025,4.6145,3.7584,0.4280499999999998,0.6130485897251309,0.04456082544470674,1.13906,1.1494272,1.1303162,0.009555500000000052,0.05654660114899335,0.003640758987191118
2971,2M19222335+4853586,2129556733685223680,3.1751945,4787.444,0.15403694,-0.030839486,0.03765586,0.21187887,11.024567999999999,11.562524,10.368155,9.517000000000001,9.0,8.913,0.05503978599999999,74.33677,0.012482345,0.03133798,0.032519754,0.0481069,0.0003804037576937702,0.0011636872307718704,0.000474948064557168,0.021,0.027999999999999997,0.024,14.5823,18.4005,11.6198,3.3903500000000006,1.163826028682233,0.0998154856438751,0.45658800000000005,0.4639601,0.44962450000000004,0.007167799999999999,-0.3404755067797886,0.006815332746574615
2972,2M19245291+4850296,2129545120093578496,2.8767312,4644.8853,0.086426824,0.17474648,0.057504654,0.30509263,13.073132000000001,13.675954,12.352142,11.415999999999999,10.892000000000001,10.720999999999998,0.05023712,67.81126,0.010606988000000001,0.025913004,0.025056867000000003,0.038040686000000004,0.00035180072663898443,0.0013372612901507708,0.0008420541867526499,0.023,0.027000000000000003,0.02,9.6959,12.2929,7.8523,2.2203,0.9865881276893576,0.09732873256116109,1.6030170000000001,1.6224421,1.5757962,0.02332294999999999,0.20493812807282472,0.0063345791269237145
2973,2M19251700+4851067,2129357683420229632,2.574186,4624.687,0.021959907999999997,0.04310772,-0.0039639696000000006,0.3048171,11.82443,12.430462,11.106769,10.146,9.555,9.455,0.05250233,67.238,0.011773898,0.027479656,0.026708397999999998,0.04039996,0.00019061252719776434,0.0017391083748119485,0.0007514071329339789,0.021,0.017,0.015,8.6091,10.349,7.3977,1.47565,0.9349577524451039,0.07290083580839057,1.2679460999999999,1.2818289,1.2545844,0.013622250000000008,0.1031007922128187,0.004665087939003255
2974,2M19271026+4852047,2129723511554853504,2.6442509999999997,4580.951,-0.0054359585,0.23936,-0.03317225,0.40293777,11.968007,12.597138000000001,11.223536,10.243,9.642000000000001,9.527000000000001,0.04869672,65.12964000000001,0.010078132,0.024149517000000002,0.022683617000000003,0.03479616,0.00023045330042603673,0.0015916914816804795,0.0011868135995962703,0.021,0.018000000000000002,0.016,6.9705,8.4104,6.0912,1.1595999999999997,0.8432639315345497,0.07005689596771453,1.3354595999999999,1.3490817,1.3228178,0.01313194999999996,0.12563075438475418,0.004269110508023796
2975,2M19294437+4848422,2129693137545730688,2.5755656000000005,4972.277,-0.0131574655,0.017350145,-0.26613817,0.42829183,10.944834,11.462994,10.304935,9.502,9.019,8.904,0.043704942000000004,82.99246,0.012011976,0.03390396,0.037427552,0.05431171,0.0003727230011230098,0.0012451977762883981,0.0008333356292056227,0.026000000000000002,0.031,0.021,1.2568,1.3028,1.1158,0.09350000000000003,0.09926617203191689,0.03364569640924259,1.17722,1.1953277,1.1644476,0.015440050000000042,0.070857631796461,0.00568351682958506
2976,2M19404363+4852560,2134787454097273088,2.4965772999999998,4812.5586,0.019462124,0.05283899,-0.11174672,0.29894328,11.506083,12.073959,10.823344,9.894,9.388,9.283999999999999,0.040031005,75.28956600000001,0.011680903000000001,0.030398306,0.031579684,0.04675894,0.00024265201465922814,0.001595149577496846,0.0008272098790185201,0.02,0.018000000000000002,0.013000000000000001,3.4126,3.6734,3.1261,0.27364999999999995,0.5330853864405704,0.035032677609238644,1.5223629,1.5303172,1.5118197,0.009248749999999972,0.18251819164680053,0.002640729673723294
2977,2M19413779+4850137,2134740862291576704,2.6361885,4698.1064,0.013403326,0.047195885,-0.021961726,0.3113683,13.134292000000002,13.734516000000001,12.413423,11.418,10.87,10.761,0.061180007,81.81768000000001,0.013129905,0.027713649,0.033100475,0.04694618,0.0002570007174673705,0.0013684458355101015,0.0008563578675735428,0.022000000000000002,0.018000000000000002,0.017,6.4905,8.5495,4.9545,1.7974999999999999,0.8122781542544055,0.11847044195015649,2.3203305,2.3577065,2.2804993,0.03860359999999991,0.36554984872862056,0.007229898769080562
2978,2M19431669+4852248,2134749864543225984,2.681142,4572.1685,0.028488055,0.27630877,0.04757008,0.37316009999999994,12.607858,13.261695999999999,11.855933,10.812000000000001,10.265999999999998,10.134,0.052352585,70.87716,0.010466815,0.023132864,0.024038028,0.03575526,0.00021511810376129148,0.0017640491908754719,0.0009115919303726017,0.021,0.018000000000000002,0.016,9.8251,11.2936,8.6099,1.34185,0.9923369793250396,0.05891714717581148,1.6217205,1.6386497,1.6075707,0.015539499999999975,0.20997600661537275,0.0041580203906628616
2979,2M19442439+4852593,2134752815182079360,2.5089262000000003,4809.807,0.0070987585999999995,0.11136085,-0.15491278,0.32670720000000003,11.440083,12.017964,10.748626,9.782,9.306000000000001,9.192,0.039114624,75.04025,0.011151443999999998,0.02941936,0.03036461,0.045094427,0.00027256287367105614,0.0020588150253497695,0.0011979952388596615,0.021,0.018000000000000002,0.016,2.387,2.5285,2.2646,0.13195,0.37785241900675454,0.02393572749504108,1.4742868,1.4841887999999999,1.4663577,0.008915549999999939,0.16858197710608758,0.0026246129699910026
2980,2M18501571+4854194,2143769635160629760,2.6898305000000002,4813.7754,0.21942526,-0.7523773,0.0675804,0.0384534,10.947044,11.469304,10.299173,9.422,8.916,8.828,0.06991335,77.155495,0.021112572000000003,0.045393072,0.05069526,0.07250160000000001,0.00041444136280821553,0.0011759613383521828,0.0006190250824456012,0.022000000000000002,0.018000000000000002,0.013000000000000001,9.7569,12.1635,7.8073,2.1781000000000006,0.9893118538604293,0.09627884588655083,0.8782721,0.8910509,0.8659643,0.012543299999999988,-0.05637091322703531,0.006201262454011629
2982,2M18575433+4856454,2131800111063498240,3.1207402,4884.607,0.00010338053,0.16456528,-0.16109985,0.35834014,12.65587,13.196242000000002,11.990264999999999,11.125,10.636,10.523,0.058530238,88.74824,0.011716465,0.029091183,0.03554987,0.050119005,0.00019754263854809828,0.0014573150133445623,0.000699701364876848,0.026000000000000002,0.028999999999999998,0.019,3.1014,3.8464,2.4952,0.6756,0.49155778255133453,0.09397454211876966,1.3492955999999998,1.3692508,1.3318335,0.018708650000000035,0.13010710414598342,0.006016534355719784
2983,2M19005306+4856134,2131976685757924992,2.6334457000000002,4621.23,0.003854148,0.22462922,-0.026686281,0.37905370000000005,12.17479,12.786850999999999,11.454742,10.475999999999999,9.94,9.788,0.049206197,66.75896,0.010196031,0.02489956,0.023761852000000003,0.036255896,0.00016999148674368136,0.0012678454882486534,0.0006723083458326506,0.022000000000000002,0.018000000000000002,0.013999999999999999,1.4856,1.5307,1.396,0.06735000000000002,0.17190189073172402,0.02000233195629003,1.7843894,1.7967569,1.7748019,0.010977500000000077,0.2514896346910868,0.0026697181785797913
2984,2M19112340+4859012,2131236031537090944,3.085875,4765.213,0.04706467,0.1944136,0.044858277,0.20414229999999997,12.735056,13.311388,12.041428,11.195,10.614,10.511,0.059204828,85.81311,0.011780716,0.026553279,0.032473713,0.04581629,0.00018960585320138001,0.00208033518313111,0.0007723946936943893,0.026000000000000002,0.032,0.023,10.5683,13.2411,8.414,2.41355,1.0240051330030757,0.09846077889587468,1.0631724,1.080151,1.047828,0.016161500000000047,0.0266036937780874,0.006597236292866822
2985,2M19213290+4858224,2129604833019283840,2.7275392999999997,4742.675,0.064256206,-0.11645858,-0.002217427,0.22619848,12.427705,13.006067999999999,11.730667,10.82,10.244000000000002,10.135,0.05641294,72.539314,0.01335961,0.03198502,0.03292832,0.048773035,0.00014124673996640524,0.0010093772215735708,0.0006367556891007098,0.022000000000000002,0.027000000000000003,0.02,8.951,11.4659,7.1614,2.1522499999999996,0.9518715571283644,0.1022051089138431,1.4843733,1.5082776,1.4632209,0.022528349999999933,0.17154313392320594,0.006585692720545086
2986,2M19215776+4859173,2129558142434104960,2.7513766,4587.889,0.055158027000000005,0.17940338,0.040156603,0.30546957,12.607947,13.231960999999998,11.876536999999999,10.915999999999999,10.317,10.177999999999999,0.049787577,65.50990999999999,0.010568593999999999,0.025029836,0.023701835,0.03623,0.00014960250822593224,0.0014076390076400713,0.0009641296789042464,0.027000000000000003,0.031,0.021,8.5311,10.8366,6.8739,1.9813500000000004,0.9310050327067855,0.09884491659163269,1.4375322000000001,1.4598581,1.4174245,0.02121679999999992,0.1576175814491086,0.006405354332199423
2987,2M19241817+4858463,2129549685640392192,2.5770117999999997,4542.2383,0.0037208274,0.21738310000000002,0.029496655,0.33713585,12.607643,13.256042,11.859739999999999,10.838,10.248,10.104,0.04883369,63.663425,0.010255694000000001,0.023904767,0.022189047000000003,0.034156684,0.0002064019388403615,0.0013921448404030645,0.0008794124844291318,0.024,0.027999999999999997,0.022000000000000002,9.0734,10.8669,6.2373,2.3147999999999995,0.957770057131389,0.12055451872778672,1.7934237,1.8302174,1.7605971999999999,0.03481010000000003,0.2536829046396141,0.008421336534565227
2988,2M19254696+4857576,2129734545331449472,2.4258412999999996,4570.463,-0.1939379,0.10601282,-0.17673627,0.43308374,11.326436,11.939065,10.60977,9.65,9.089,8.956,0.050986234000000005,64.95707,0.011201893000000001,0.025772111,0.024420135,0.037278756,0.00036975790096427374,0.0015688271632852135,0.0011367218481816987,0.021,0.017,0.016,4.3347,4.8404,2.9141,0.96315,0.6369590457907698,0.11018840068312874,1.1900833,1.2190685,1.1735456,0.022761450000000082,0.07557736094229214,0.008264070015634256
2989,2M19285242+4854399,2129697677331498752,2.4897654,4890.8174,0.016792068,-0.12635784,-0.12722325,0.30924678,11.75031,12.299746,11.079941,10.264000000000001,9.675,9.584,0.044402372,79.34656,0.013462567,0.03496118,0.037995964,0.055294715,0.00015461960070295433,0.0012250056968643452,0.0008502164562207426,0.03,0.033,0.022000000000000002,4.4595,5.3096,3.7188,0.7953999999999999,0.649286168260619,0.07732949117353927,1.7334976999999998,1.7501404,1.7159313999999999,0.01710450000000003,0.23892326977206874,0.004286484302375784
2990,2M19295058+4857568,2129701555682384640,2.5153131,4780.74,-0.0059862043999999994,0.16693807,-0.14383245,0.32966757,12.235039,12.829450999999999,11.529208,10.582,10.055,9.932,0.037795126,73.621445,0.0106711835,0.028096575,0.028548561,0.042648487,0.00015407193367567018,0.0010005319292161197,0.0007298950010037331,0.027000000000000003,0.03,0.022000000000000002,2.8327,2.9843,2.6224,0.18095000000000017,0.45220058255309237,0.028071771346698665,2.0495821999999997,2.0652901999999997,2.0346978,0.0152962,0.3116653407010862,0.0032405843835268122
2991,2M19381790+4857453,2134800201560082816,2.7832183999999995,4645.6934,0.007366851,0.31510988,-0.038631856,0.51622015,9.71316,10.327803,9.00554,8.003,7.492000000000001,7.3629999999999995,0.047803298,67.58839,0.009490083,0.024061164,0.022969864,0.03509172,0.00029591727328748263,0.0011638872193142635,0.0011093012134644198,0.018000000000000002,0.016,0.016,3.6802,4.6715,2.9854,0.8430500000000001,0.5658714209931291,0.09722691235086287,0.47865800000000003,0.4880743,0.4738381,0.007118099999999999,-0.31997467815513103,0.0064279809427590096
2992,2M19383260+4857283,2134800338999043584,2.5039077,4607.028,0.1438239,-0.31310326,0.060497165,0.12815015,10.689879,11.273039,9.994377,9.062000000000001,8.455,8.404,0.05944932,67.24573000000001,0.01561557,0.032914013,0.03288632,0.049036782,0.00030216329861110225,0.0008855779172645128,0.0010841791094962083,0.021,0.017,0.016,9.5284,11.3536,7.6736,1.8399999999999999,0.9790199804380286,0.08506721619842944,0.8464108,0.8556749,0.8365657,0.009554599999999993,-0.07241880377949395,0.004904369325516217
2994,2M19401632+4857305,2134791577265314688,2.8015964,4835.833,0.025709500000000003,-0.07663425,-0.111701526,0.28415847,12.708305000000001,13.267013,12.024949000000001,11.105,10.614,10.504000000000001,0.06308852,86.378006,0.014138402,0.032213368,0.03936003,0.055286463,0.00015674638437879196,0.001387519104351087,0.0006170727844667656,0.021,0.018000000000000002,0.017,3.6642,4.6224,2.9134,0.8544999999999998,0.5639791703795093,0.10023370430512837,1.9504858999999999,1.9794888000000002,1.9208786,0.02930510000000004,0.29014281515828017,0.006526565317292343
2995,2M19410331+4854363,2134788102631527808,2.5022835999999997,4617.228,0.16769485,-0.10546629,0.050065,0.26709503,12.646261,13.243351,11.931972,10.947000000000001,10.419,10.317,0.06021783,73.52273000000001,0.014150948,0.029090045,0.03179579,0.046258494000000004,0.00020887420199122708,0.002002899964503868,0.00106051462551493,0.02,0.018000000000000002,0.013999999999999999,12.2262,14.8404,9.4406,2.6999000000000004,1.0872914958367113,0.09822300497613129,1.7176324,1.7422888,1.6962896,0.022999599999999988,0.23493022367813385,0.0058100727120258405
2996,2M19411135+4854379,2134788416169991680,2.796695,4735.697,0.088360675,0.15315323,0.04447496,0.34094,12.371636,12.964630999999999,11.666555,10.702,10.199,10.083,0.053929918,75.659386,0.011228975,0.027291412999999997,0.02912857,0.04285217400000001,0.00018255396596722484,0.0012962864011911712,0.0010076756750665439,0.021,0.018000000000000002,0.013999999999999999,2.9905,3.7645,2.3714,0.69655,0.47574380674812583,0.10035124297302175,1.6150287,1.6399528,1.5903765,0.024788149999999974,0.20818024440141364,0.006665699429192165
