,Unnamed: 0,APOGEE_ID_1,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
3010,3271,2M19115664+5054001,2133369324612365696,2.6271615,4625.357,0.011498075,0.1537104,-0.05168827,0.30057573,10.832466,11.44618,10.118049,9.16,8.617,8.462,0.050486267,67.055695,0.010785584,0.025917217000000003,0.024934852,0.03790503,0.00033193778520956835,0.0017959614089979594,0.0006860900321770114,0.024,0.033,0.021,6.9652,7.8779,5.9566,0.9606500000000002,0.8429335913485434,0.060706013263725274,0.8476946000000001,0.8560158000000001,0.8388415000000001,0.008587150000000009,-0.07176058338471276,0.004400936306759111
190,258,2M19111567+3838265,2099577209123927680,3.0949984,4925.424,-0.006063843,-0.10229641,-0.13649312,0.27338687,11.539383,12.100418,10.856685,9.985,9.482,9.345,0.057465818,80.96255,0.013207706,0.03519586,0.03864102,0.05607003,0.0002740779028909124,0.0015355752362744555,0.0007732374616098436,0.02,0.022,0.018000000000000002,3.2055,4.0273,2.5645,0.7314000000000003,0.5058957812197507,0.09800563934963337,0.8237591999999999,0.8358910000000002,0.8118951,0.011997950000000115,-0.08419972203444742,0.006324864447671677
1139,1285,2M19312371+4220456,2077697614930096768,2.4944324,4752.6797,-0.012726443,0.17808357,-0.139519,0.37869102,10.930873,11.5381,10.220576,9.233,8.72,8.6,0.0371486,72.362946,0.010577658,0.02749119,0.027624283,0.041423317,0.00022270767341958653,0.0013335287808824425,0.0004612292394379214,0.021,0.026,0.015,3.0011,3.1263,2.7612,0.18255,0.4772804668425879,0.02696639295004161,1.1116631000000001,1.1181524,1.1046379,0.006757249999999999,0.04597319014207741,0.0026405302823893986
992,1133,2M19172949+4148048,2102245448968145664,2.888796,4643.179,0.008726902,0.3093109000000001,0.018100291,0.38384232,13.16419,13.783926,12.431462,11.423,10.907,10.777,0.05994885,85.43356999999997,0.011346851000000002,0.022977116,0.028986411,0.040599376,0.0003097085649650388,0.0015126934349574126,0.0007874935829021991,0.021,0.019,0.018000000000000002,8.3201,10.59,6.7733,1.90835,0.9201285461449544,0.0970478242482592,1.6531667,1.6768291999999998,1.6297465,0.02354134999999996,0.21831664863489345,0.0061843855304618426
699,833,2M19421132+4045130,2076621502285818112,2.5116186000000003,4864.184,0.001688322,0.07348526,0.013032809,0.57130754,11.541742,12.136485,10.836772,9.903,9.354,9.232,0.040691774,77.62663,0.0114906095,0.030955393,0.032696884,0.04816931,0.0002972169844606132,0.0014025720976540426,0.0011248432833532718,0.025,0.019,0.014,1.8605,1.8831,1.4305,0.22629999999999995,0.2696296743575529,0.05969276061454583,1.5359563,1.5541236999999999,1.4889836,0.03257005000000004,0.18637885961551875,0.009297834507734843
606,732,2M19431995+4025391,2076399847618000640,2.524539,4967.2744,0.036941476,-0.22984749,-0.030573905,0.29164308,12.444448,13.024159,11.73583,10.789,10.263,10.147,0.05067161,91.65247,0.01567319,0.037846945,0.04777602,0.06622785,0.00019822835367389047,0.002095366747316696,0.0007902794499881072,0.021,0.021,0.012,3.7038,4.1819999999999995,3.2734,0.4543000000000002,0.5686475273507532,0.05319247520148623,2.2366731,2.2557935,2.2207517999999995,0.01752085000000011,0.34960251461049896,0.0033996590618335376
180,246,2M19404372+3830503,2049134982905799552,2.734729,4832.8677,-0.006407397,0.035978787000000005,-0.20540473,0.46555528,10.984001,11.555149,10.292937,9.373,8.847000000000003,8.743,0.054064862000000005,76.25482,0.011837793,0.031026673,0.032520294,0.04800131,0.0002295000947694081,0.0010964891122344778,0.000820088333176594,0.023,0.02,0.022,2.0018,2.5267,1.6406,0.44305,0.3014206849138913,0.0937754865691494,1.0335744,1.0483403,1.017677,0.015331650000000025,0.014341743998123373,0.006446160891407887
301,385,2M18592624+3909431,2100207190629268864,2.4802234,4820.12,-0.009119717,-0.0002541393,-0.19964896,0.35208103,11.285189,11.860264,10.592881,9.676,9.184,9.015,0.040978506,75.749596,0.0121829,0.031405065,0.03287891,0.04852201,0.0005568197314320678,0.0010666970307415813,0.0006520710592972102,0.02,0.022,0.016,4.3505,4.8404,3.9066,0.4668999999999999,0.6385391729919204,0.04654115326837571,1.346912,1.3575161,1.3350573000000001,0.011229400000000054,0.12933922217966198,0.003622541586797867
2544,2788,2M19284276+4800406,2129259693746860288,2.7609220000000003,4695.513,0.007684312800000002,0.19011208,-0.04435706,0.43035394,12.906222,13.517774,12.181822,11.207,10.665,10.526,0.050290782,69.88573000000001,0.01047797,0.026447758,0.026006058,0.039277826,0.00025519134179252667,0.0012807886230803422,0.000669278556638675,0.024,0.018000000000000002,0.021,5.6107,7.1118,4.5186,1.2965999999999998,0.7490170479179074,0.09848781839988258,1.7819359000000001,1.8091998,1.7548901,0.027154850000000008,0.2508920774915491,0.006618303552332547
2810,3066,2M19504214+4920471,2087163482328775552,2.5044029,4850.5903,0.024778266,-0.026795566,-0.16654246,0.38818753,11.709868,12.301923,11.0044,10.057,9.525,9.444,0.045812882,89.18001,0.013838568,0.03147357,0.039610356,0.055169627,0.00020891200535277926,0.0014466651328992608,0.0009732301003229082,0.024,0.015,0.018000000000000002,3.0395,3.2474,2.7861,0.23065,0.4828021477204599,0.033269543038628946,1.6126762,1.6270953000000001,1.6014007,0.012847300000000018,0.20754717664507188,0.0034564882876225445
