,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
663,2M19253022+4013491,5097873,291.37593,40.23031,-0.08309,0.02018,4.6131,4.121,5.2293,1.2278,1.1923,1.2822,2717.8320000000003,2694.6355,2743.9213,0.2362,0.1933,0.2749,2
664,2M19335661+4016243,5105190,293.48588,40.27343,0.08663,0.00943,6.2682,5.0699,7.9873,1.1858,1.1127,1.2588,1627.5249,1601.4007,1651.0603,0.4061,0.325,0.4705,1
665,2M19340789+4012154,5105399,293.53288,40.20428,0.04211,0.0076900000000000015,3.4362,2.7861,4.4281,1.4001,1.3063,1.4859,1229.0379,1209.2054,1246.2114,0.2867,0.205,0.3499,1
666,2M19364755+4016095,5107886,294.19813,40.26931,-0.13244,0.01962,2.8634,2.3174,3.6751,1.4243,1.3404,1.5203,1637.1053,1612.5006,1661.0886,0.2736,0.2029,0.3449,1
667,2M19365211+4012061,5107950,294.21714,40.20172,-0.56548,0.23774,12.7493,9.8855,15.0478,0.9022,0.8681,0.9771,2294.3003,2264.9045,2325.3497,0.3016,0.255,0.3696,1
668,2M19375851+4014292,5109052,294.49382,40.24146,-0.13419,0.12126,10.5164,8.2224,13.294,1.0209,0.9463,1.0763,1770.1212,1740.0024,1796.8114,0.4194,0.345,0.5008,1
669,2M19395519+4012573,5110961,294.9799799999999,40.21594,0.09318,-0.0056,5.9822,3.6728,6.4678,1.2345,1.1967,1.3968,2221.2843,2190.2812,2286.381,0.5534,0.4776,0.6249,1
670,2M19405020+4013109,5111949,295.2091700000001,40.21972,0.14831,-0.00484,2.0755,2.0184,2.1433,1.6719,1.6518,1.6959,2445.7470000000003,2429.4052,2458.3920000000003,0.4954,0.4592,0.5149,2
671,2M19405601+4013395,5112072,295.2333799999999,40.22766,0.07327,-0.01439,2.3637,1.9521,2.9843,1.5498,1.4722,1.6576,2416.9570000000003,2382.0456,2451.8233,0.4897,0.4067,0.5449,1
672,2M19410819+4015085,5112361,295.28415,40.25238,0.07187,0.00188,2.1915,1.7989,2.7880000000000003,1.6156,1.492,1.6904,2331.7986,2298.7411,2368.5821,0.353,0.2934,0.4348,1
