,APOGEE_ID,KIC,RA,DEC,FE_H,A_FE,age,age_68L,age_68U,mass,mass_68L,mass_68U,dist,dist_68L,dist_68U,Av,Av_68L,Av_68U,evstate
19,2M19222920+3710285,1569842,290.62167,37.1746,-0.24068,0.11590999999999999,9.8244,7.8523,12.5843,1.0016,0.9332,1.0584,619.0364,609.5228,628.7579,0.0722,-0.0065,0.1449,1
20,2M19241413+3711431,1571780,291.05891,37.19531,0.22041999999999998,-0.00818,0.9613,0.7499,1.1372,2.3805,2.1776,2.5706,1116.3227,1100.2721,1132.7761,0.4166,0.3433,0.4748,2
21,2M19243591+3706204,1572175,291.14964,37.10568,0.01063,-0.006640000000000001,2.7004,2.1135,3.3432,1.5066,1.4124,1.6069,1387.0519,1366.1549,1409.1049,0.4386,0.3575,0.5049,1
22,2M19274289+3709135,1575886,291.92873,37.15377,-0.03304,-0.019780000000000002,0.956,0.9175,1.0112,2.0382,1.9983,2.0604,1180.2525,1173.5456,1188.5941,0.3821,0.3683,0.4148,2
23,2M19275029+3706248,1576043,291.95956,37.1069,0.09396,0.01678,10.144,5.5437,16.0339,1.0726,0.9125,1.2358,3311.5489,3175.704,3439.3919,0.5087,0.3516,0.6948,1
24,2M19281017+3706444,1576469,292.04238,37.11235,0.11470999999999999,-0.0107,0.7339,0.6683,0.912,2.3565,2.1582,2.4207,853.0629,838.3395,863.9521,0.1674,0.068,0.2249,2
25,2M19222314+3712209,1717618,290.59644,37.20582,0.08027000000000001,-0.00563,2.1612,1.7664,2.6608,1.6233,1.5204,1.7081,1060.1939,1045.9236,1074.6328,0.2017,0.133,0.2649,1
26,2M19240173+3716003,1719297,291.00721,37.26675,-0.02002,0.0034700000000000004,5.1323,2.4831,11.3483,1.2482,0.9772,1.5224,2261.1198,2118.3119,2390.4663,0.5236,0.2776,0.7849,1
27,2M19240872+3712254,1719422,291.03637000000003,37.20706,-0.24268,0.023,4.048,3.2734,5.0562,1.2731,1.1967,1.3516,1473.475,1452.5131,1494.4599,0.4464,0.375,0.5048,1
28,2M19251052+3715499,1720425,291.29384,37.263870000000004,-0.15905,0.03951,10.6271,8.4664,13.0271,0.9614,0.9009,0.9954,935.5152,925.7636,946.7705,0.5691,0.5225,0.6148,2
29,2M19272602+3717271,1723047,291.85843,37.290890000000005,-0.08555,-0.01685,2.8433,2.3345,3.6714,1.4331,1.3445,1.5204,1247.6347,1230.099,1266.1487,0.2817,0.2186,0.3549,1
30,2M19280136+3717594,1723752,292.00571,37.29984,-0.12007999999999999,0.02248,4.6124,3.6728,5.8777,1.2391,1.1673,1.3242,992.3769,977.5745,1008.0557,0.2414,0.175,0.3227,1
31,2M19280451+3713548,1723843,292.01882,37.23191,-0.19801,0.03615,2.8664,2.3174,3.6461,1.424,1.3243,1.5011,1206.7353,1187.1349,1222.7248,0.5187,0.445,0.5776,1
32,2M19291057+3713306,1725190,292.29406,37.22518,0.00515,-0.031560000000000005,0.8943,0.8222,0.9895,2.0902,2.0231,2.1476,485.9444,481.3933,491.0849,0.1287,0.0752,0.1649,2
33,2M19292749+3717501,1725552,292.36458,37.297270000000005,0.09473999999999999,-0.00551,8.8665,5.5603,13.0342,1.0768,0.9552,1.2188,1601.2635,1554.1749,1651.2612,0.2416,0.115,0.3848,1
