# Andrea 07-Jul-2020 15:51:38
APOGEE_ID, KIC, RA, DEC, FE_H, A_FE, age, age_68L, age_68U, mass, mass_68L, mass_68U, dist, dist_68L, dist_68U, Av, Av_68L, Av_68U, evstate 
  2M19282828+3741077        2305987  292.11787   37.68549    0.13701    0.06178    8.91510    7.57180   10.11290    1.09110    1.05670    1.15230 2016.81270 1997.56040 2038.37380    0.48850    0.43650    0.52480    1
  2M19282855+3739572        2305992  292.11899   37.66591    0.08099    0.01917    5.42720    4.35510    6.83960    1.23610    1.16390    1.31820 1046.68040 1031.28820 1062.87180    0.34590    0.26090    0.40500    1
  2M19285254+3738311        2306481  292.21892   37.64199   -0.24515    0.06338    4.70650    4.21110    5.55670    1.20420    1.14810    1.25670 2350.83280 2330.77270 2371.84450    0.42470    0.38500    0.46270    2
  2M19295606+3740555        2307683  292.48362   37.68210   -0.15574    0.01428    4.31820    3.65510    5.07010    1.27810    1.21330    1.34410 1348.93890 1333.64380 1363.03250    0.30380    0.26500    0.35200    1
  2M19312880+3738391        2309469  292.87000   37.64422    0.18745    0.01580    8.66910    6.83910   10.64380    1.06430    1.00230    1.13740 1412.79500 1392.45110 1433.79440    0.41920    0.35260    0.47480    2
  2M19313386+3740119        2309550  292.89109   37.66999   -0.00706   -0.03032    1.83110    1.74700    1.92700    1.69390    1.66810    1.72170  559.86330  555.40530  564.27120    0.07730    0.04500    0.12070    2
  2M19033301+3743183        2422073  285.88757   37.72176    0.09291    0.00953   10.16150    8.22240   13.13260    1.04160    0.97110    1.10660 1151.28030 1132.47870 1168.16890    0.23610    0.14570    0.29490    1
  2M19041265+3743311        2422558  286.05274   37.72532    0.31724    0.02913    4.86990    3.93550    6.18110    1.31290    1.24280    1.40580 1575.45360 1553.13780 1597.72310    0.37840    0.32500    0.45970    1
  2M19041758+3743261        2422635  286.07329   37.72392    0.00883    0.00646    4.29480    3.44980    5.43040    1.31220    1.22490    1.38650 1156.75200 1139.25260 1173.50230    0.20360    0.13060    0.27500    1
  2M19055092+3745351        2423824  286.46221   37.75975   -0.31578    0.10966    1.98550    1.58310    2.65970    1.60300    1.44530    1.73100 1859.81050 1824.19000 1894.46930    0.00620   -0.06920    0.08490    2
  2M19055970+3746425        2423932  286.49875   37.77849    0.33971    0.03286    6.64230    5.06990    8.54980    1.20270    1.12770    1.30600 2611.53740 2534.25310 2688.37530    0.43300    0.04500    0.83980    1
  2M19071517+3744455        2424822  286.81323   37.74598    0.05506   -0.01420    2.50450    2.01560    3.12520    1.53630    1.45360    1.64400 1094.45410 1078.25130 1110.42670    0.30060    0.22500    0.36660    1
